grupo_barrio,barrio,latitud,longitud,tipo_habitacion,precio,minimo_noches,cantidad_resenas,resenas_por_mes,cantidad_alojamientos_anfitrion,disponibilidad_anual
17.0,80.0,40.41584,-3.70683,4,158.0,3,282,1.81,7,123
17.0,61.0,40.41389,-3.70461,4,117.0,1,441,2.81,6,37
17.0,80.0,40.41697,-3.70732,4,97.0,2,862,5.48,1,323
17.0,66.0,40.42616,-3.70263,4,147.0,3,120,0.85,1,292
17.0,66.0,40.42105,-3.70349,4,86.0,3,3,0.02,1,233
8.0,48.0,40.39368,-3.66975,4,52.0,30,33,0.27,1,222
17.0,76.0,40.41826,-3.71244,4,150.0,5,110,0.84,2,26
15.0,64.0,40.43653,-3.70421,3,43.0,5,119,0.86,1,10
17.0,66.0,40.42329,-3.70833,4,114.0,7,414,2.64,3,50
13.0,55.0,40.40333,-3.7025,3,46.0,5,212,1.38,3,160
17.0,66.0,40.42063868265047,-3.705671159481837,4,156.0,5,1,0.45,17,285
17.0,66.0,40.42057,-3.70486,4,147.0,5,24,0.16,17,314
17.0,79.0,40.41382,-3.69514,4,157.0,3,438,2.84,1,95
9.0,5.0,40.4267,-3.61631,3,42.0,20,31,0.24,6,155
17.0,80.0,40.41399,-3.70776,4,90.0,2,662,4.23,2,6
17.0,76.0,40.40883973425041,-3.71506993463148,4,100.0,3,255,1.79,1,6
17.0,80.0,40.41403,-3.70453,4,93.0,1,327,2.15,6,51
17.0,66.0,40.42398,-3.70451,3,42.0,3,33,0.75,1,365
9.0,24.0,40.43602,-3.63506,4,58.0,4,355,2.28,1,76
16.0,73.0,40.4077,-3.68473,3,38.0,1,240,1.57,3,153
17.0,79.0,40.4112,-3.69567,4,54.0,2,370,2.42,5,319
17.0,77.0,40.42171,-3.69823,4,100.0,7,282,1.82,1,191
17.0,76.0,40.42033,-3.70862,4,150.0,1,92,0.6,10,1
17.0,66.0,40.42556,-3.70175,4,68.0,2,314,2.03,5,255
4.0,57.0,40.46913,-3.58258,4,148.0,2,310,2.06,1,51
8.0,41.0,40.39826,-3.66722,3,42.0,2,198,1.38,1,84
17.0,80.0,40.41901,-3.70631,4,106.0,1,457,2.97,5,18
16.0,51.0,40.40646,-3.68289,3,38.0,1,932,6.14,3,141
17.0,61.0,40.40956,-3.7009,4,93.0,2,592,3.82,1,252
9.0,31.0,40.4449,-3.63508,3,90.0,2,95,0.68,1,364
18.0,73.0,40.4256315,-3.6714298,4,83.0,5,4,0.19,1,129
17.0,61.0,40.40766,-3.69952,4,85.0,10,86,0.56,2,25
17.0,80.0,40.41866,-3.70547,4,103.0,2,577,3.84,12,249
8.0,12.0,40.38901,-3.64185,3,26.0,1,282,2.24,1,265
17.0,80.0,40.41538,-3.70351,3,68.0,1,764,5.06,14,91
17.0,66.0,40.422540963200944,-3.701240072319667,4,94.0,1,234,1.54,5,57
17.0,79.0,40.41245,-3.69688,4,122.0,1,634,4.14,20,309
17.0,61.0,40.40875,-3.70439,4,97.0,4,25,0.25,8,166
8.0,41.0,40.40215,-3.66263,3,32.0,6,95,0.63,1,203
17.0,61.0,40.41045,-3.7057,4,136.0,2,389,2.61,1,290
15.0,66.0,40.43542,-3.70755,3,47.0,2,36,0.39,1,3
14.0,71.0,40.46544,-3.69534,4,120.0,1,74,0.52,2,72
17.0,79.0,40.41328,-3.69498,4,130.0,2,357,2.38,1,258
17.0,61.0,40.40912,-3.70074,3,80.0,30,122,1.01,1,139
17.0,76.0,40.41301,-3.70848,4,134.0,20,43,0.32,5,99
17.0,76.0,40.41354,-3.7079,4,104.0,2,93,0.74,1,15
17.0,61.0,40.41368,-3.70544,4,101.0,20,44,0.31,5,49
17.0,80.0,40.41936,-3.70752,4,94.0,2,207,1.38,5,18
17.0,76.0,40.4175,-3.7093,4,143.0,4,364,2.42,1,3
15.0,39.0,40.43715,-3.71356,3,86.0,1,151,1.01,2,359
5.0,44.0,40.34993,-3.70594,4,87.0,5,55,0.41,2,241
17.0,79.0,40.41031,-3.69438,4,49.0,30,12,0.09,1,297
17.0,80.0,40.41682,-3.70233,4,147.0,2,352,2.36,3,223
17.0,80.0,40.41884,-3.702,4,128.0,2,297,2.01,3,226
13.0,46.0,40.39963,-3.69485,3,50.0,3,498,3.68,3,203
13.0,46.0,40.39848,-3.69692,3,52.0,3,492,3.3,3,211
17.0,76.0,40.42239,-3.70986,4,93.0,2,500,3.37,12,223
17.0,80.0,40.41688,-3.70384,4,159.0,2,340,2.29,3,202
17.0,76.0,40.42055,-3.71043,4,82.0,2,447,3.06,12,189
15.0,69.0,40.43831228745207,-3.698593652243729,4,102.0,2,78,0.53,2,6
17.0,79.0,40.41495,-3.70061,4,121.0,4,531,3.57,28,274
17.0,61.0,40.41263,-3.70751,4,103.0,3,157,1.85,1,240
17.0,76.0,40.417042,-3.709589,4,111.0,1,614,4.31,2,29
17.0,61.0,40.40872,-3.70761,4,98.0,5,339,2.35,3,19
16.0,84.0,40.46396,-3.68005,4,94.0,1,66,0.49,1,311
15.0,69.0,40.43817,-3.69863,3,55.0,1,74,0.51,2,50
17.0,61.0,40.40773,-3.70647,4,88.0,2,100,0.68,1,159
17.0,76.0,40.41639,-3.71313,4,97.0,28,243,1.66,1,270
17.0,66.0,40.42157,-3.70276,4,143.0,1,195,1.34,5,40
17.0,76.0,40.42183,-3.71091,4,114.0,6,188,1.29,24,31
13.0,60.0,40.4058,-3.69604,4,100.0,30,59,0.43,1,348
10.0,36.0,40.50377,-3.68884,4,88.0,4,312,2.12,1,325
18.0,73.0,40.4244,-3.67485,3,15.0,30,21,0.15,1,7
17.0,76.0,40.41256,-3.70938,4,94.0,2,473,3.3,12,249
7.0,33.0,40.36148,-3.59824,3,45.0,2,99,0.74,1,354
17.0,61.0,40.41055,-3.70656,4,64.0,5,247,1.71,3,27
3.0,11.0,40.40296,-3.74469,3,38.0,2,82,0.57,1,90
18.0,68.0,40.42929,-3.67663,4,108.0,5,109,0.75,1,168
17.0,66.0,40.42171,-3.70564,4,87.0,2,220,1.75,1,11
16.0,70.0,40.41697,-3.67319,3,60.0,2,257,1.8,1,220
17.0,76.0,40.42063,-3.71193,4,114.0,3,187,1.33,24,32
13.0,55.0,40.40366,-3.7059,4,111.0,3,103,1.13,5,2
17.0,76.0,40.41856630367691,-3.709107643183609,3,152.0,1,213,1.46,21,365
16.0,66.0,40.442649841308594,-3.6739718914031982,3,46.0,15,64,0.54,1,138
17.0,61.0,40.41396,-3.70446,4,102.0,1,444,3.05,6,46
17.0,80.0,40.41474,-3.70744,4,125.0,1,536,3.67,20,324
17.0,80.0,40.41666,-3.70222,4,120.0,3,341,2.35,2,198
17.0,79.0,40.41555,-3.69955,4,119.0,7,50,0.36,7,346
17.0,76.0,40.41919,-3.70915,3,78.0,4,196,1.35,21,273
17.0,76.0,40.41535,-3.7101,4,60.0,3,319,2.21,2,300
17.0,61.0,40.41014,-3.70096,4,115.0,3,204,1.47,1,218
17.0,80.0,40.4152,-3.70429,4,144.0,1,690,4.75,14,119
17.0,66.0,40.42318,-3.70166,4,68.0,2,410,3.32,5,269
13.0,60.0,40.40498,-3.7006,4,155.0,2,76,1.48,1,238
17.0,76.0,40.4142968542387,-3.709685581272064,3,133.0,3,229,1.58,21,344
18.0,82.0,40.42129424736724,-3.683965195613257,4,127.0,1,32,0.24,29,275
3.0,11.0,40.40847,-3.72231,3,38.0,10,73,0.55,1,80
17.0,61.0,40.41128,-3.70224,3,76.0,6,207,1.55,1,185
17.0,66.0,40.42883,-3.70233,4,73.0,28,23,0.17,4,176
17.0,61.0,40.40756,-3.70568,3,70.0,4,385,2.73,4,1
15.0,64.0,40.42936,-3.7021,4,70.0,30,13,0.09,4,308
16.0,65.0,40.47054,-3.68104,3,55.0,1,427,3.05,4,19
17.0,61.0,40.40986,-3.69752,4,110.0,1,376,2.66,2,316
17.0,66.0,40.42506,-3.70752,4,102.0,7,324,2.36,2,123
10.0,41.0,40.42617,-3.64297,3,44.0,2,32,0.24,1,251
9.0,5.0,40.42654,-3.615916,3,34.0,20,40,0.3,6,117
17.0,61.0,40.40672,-3.69915,4,77.0,1,591,4.22,2,265
17.0,76.0,40.4091847,-3.7112316,3,60.0,2,90,2.38,1,88
17.0,80.0,40.41677,-3.70241,4,155.0,1,863,6.14,14,119
11.0,70.0,40.4269,-3.71367,4,142.0,1,373,2.67,4,159
17.0,61.0,40.40981,-3.70444,4,70.0,4,16,0.28,8,235
17.0,66.0,40.42809,-3.70396,3,38.0,12,15,0.12,2,146
17.0,61.0,40.41076,-3.69967,4,107.0,2,326,2.35,1,134
17.0,76.0,40.413128,-3.713299,4,113.0,1,412,2.96,20,327
17.0,66.0,40.4282,-3.704,3,32.0,12,44,0.33,2,107
15.0,67.0,40.43951,-3.6993,4,105.0,2,148,1.07,1,37
17.0,66.0,40.42755,-3.70255,3,31.0,13,62,0.45,1,32
17.0,61.0,40.4080534400944,-3.701130759415112,4,98.0,7,251,1.81,2,274
13.0,60.0,40.40441,-3.70095,3,33.0,2,125,0.94,1,73
17.0,79.0,40.411968,-3.695372,3,103.0,3,107,0.77,1,140
17.0,66.0,40.42333,-3.7066,3,36.0,1,880,6.37,19,236
17.0,61.0,40.41047,-3.7089,4,108.0,3,84,0.61,1,5
11.0,15.0,40.46919,-3.7249,3,50.0,7,59,0.49,7,339
16.0,51.0,40.40549,-3.68245,3,57.0,2,194,1.43,3,8
17.0,66.0,40.42314,-3.70683,4,103.0,5,5,0.04,9,302
11.0,70.0,40.42729,-3.7148,3,45.0,3,328,2.46,1,328
17.0,66.0,40.422,-3.70498,4,103.0,3,267,1.95,1,234
3.0,26.0,40.40718,-3.75199,3,38.0,1,0,0.0,1,89
18.0,63.0,40.43805,-3.67307,4,115.0,1,88,0.67,3,175
17.0,61.0,40.41015,-3.69681,4,73.0,5,55,0.5,3,184
17.0,77.0,40.41995,-3.7005,4,140.0,2,621,4.58,1,83
13.0,49.0,40.39904,-3.69987,3,88.0,1,72,0.53,4,364
11.0,70.0,40.42464,-3.71255,4,77.0,20,180,1.34,3,223
17.0,61.0,40.40945,-3.70965,4,72.0,2,386,2.85,1,145
17.0,66.0,40.42162,-3.70186,4,147.0,2,1036,7.58,1,93
17.0,76.0,40.41098,-3.71225,4,124.0,3,90,1.07,1,325
17.0,66.0,40.42423,-3.70664,4,88.0,4,275,2.06,1,153
17.0,61.0,40.41199,-3.70387,3,80.0,2,77,0.58,1,198
17.0,61.0,40.40846,-3.69586,4,117.0,3,99,0.74,1,307
15.0,64.0,40.43552,-3.70348,3,90.0,1,29,0.38,3,365
17.0,79.0,40.41449,-3.69607,4,100.0,4,361,2.65,4,212
10.0,41.0,40.42773,-3.64498,3,33.0,3,159,1.17,2,269
17.0,61.0,40.41212,-3.69915,3,82.0,25,120,0.89,3,132
17.0,77.0,40.42389,-3.69951,3,43.0,2,158,1.28,2,324
17.0,61.0,40.41275,-3.70039,3,72.0,25,95,0.7,3,132
10.0,41.0,40.42813,-3.64537,3,34.0,3,69,0.62,2,236
17.0,61.0,40.40738,-3.69719,3,29.0,1,501,3.89,4,31
16.0,78.0,40.40755,-3.67771,4,76.0,30,79,0.63,1,126
17.0,66.0,40.42845,-3.7037,4,121.0,4,63,0.47,1,99
17.0,79.0,40.41629,-3.69605,3,77.0,1,70,0.54,21,365
18.0,63.0,40.43727,-3.67535,4,129.0,7,73,0.59,2,311
6.0,42.0,40.38897,-3.71511,3,39.0,11,454,4.24,2,25
16.0,65.0,40.4716,-3.67378,4,100.0,30,153,1.14,1,224
17.0,61.0,40.4112,-3.70597,4,143.0,30,43,0.37,2,13
17.0,66.0,40.42459395118232,-3.702171623120405,4,89.0,1,62,0.46,5,171
13.0,60.0,40.40280834031722,-3.6968820166654233,3,56.0,2,33,1.41,1,163
17.0,76.0,40.40959,-3.71687,4,89.0,4,225,1.69,1,289
17.0,61.0,40.41255,-3.70337,4,123.0,28,28,0.23,10,255
15.0,64.0,40.43493,-3.70369,4,140.0,30,115,0.91,2,38
17.0,79.0,40.4158,-3.70119,4,105.0,15,207,1.55,2,282
17.0,80.0,40.41505,-3.70674,4,158.0,3,270,2.02,7,117
17.0,76.0,40.42284,-3.7106,3,90.0,2,44,0.33,7,364
17.0,80.0,40.4149,-3.70267,4,65.0,4,303,2.26,2,165
9.0,31.0,40.44597,-3.63157,3,69.0,1,124,0.93,2,138
17.0,76.0,40.41109895790407,-3.713395731388319,4,164.0,3,141,1.06,1,305
17.0,80.0,40.41991,-3.70155,4,83.0,3,636,5.09,2,61
17.0,76.0,40.42184,-3.71134,3,83.0,2,134,1.0,7,353
17.0,61.0,40.40875,-3.71018,3,56.0,1,175,1.31,1,234
13.0,49.0,40.39896,-3.69973,3,79.0,1,55,0.43,4,364
13.0,49.0,40.39894,-3.69999,3,44.0,1,69,0.52,4,80
17.0,80.0,40.41572,-3.70741,4,145.0,5,407,3.05,3,18
17.0,61.0,40.41232,-3.70005,4,93.0,3,321,2.42,2,292
15.0,67.0,40.44308,-3.69777,4,116.0,2,711,5.32,4,131
17.0,66.0,40.42267,-3.70809,4,82.0,3,418,3.14,1,289
17.0,61.0,40.41058,-3.70217,4,111.0,3,331,2.52,20,332
17.0,61.0,40.41058,-3.70217,4,104.0,3,352,2.68,20,332
17.0,76.0,40.41078,-3.71478,3,64.0,3,75,0.56,3,352
17.0,61.0,40.41036,-3.69937,4,122.0,1,171,1.29,10,13
11.0,70.0,40.42846199243451,-3.719398084040297,3,41.0,14,42,0.32,2,136
16.0,73.0,40.40692,-3.68303,4,103.0,2,347,2.64,292,286
17.0,76.0,40.41347,-3.70888,4,75.0,1,127,1.59,1,53
10.0,47.0,40.43536,-3.65044,3,35.0,3,90,0.68,1,288
10.0,75.0,40.45131,-3.6548,4,123.0,5,87,0.66,1,105
17.0,79.0,40.41332,-3.69636,4,157.0,2,591,4.46,28,74
17.0,76.0,40.42181,-3.7098,4,98.0,2,441,3.36,12,277
18.0,83.0,40.42932,-3.68441,4,146.0,2,334,2.7,2,294
11.0,47.0,40.44437,-3.78552,4,112.0,4,195,1.48,1,11
17.0,61.0,40.41058,-3.70217,4,105.0,3,343,2.61,20,343
17.0,61.0,40.41058,-3.70217,4,104.0,3,403,3.07,20,333
17.0,61.0,40.41058,-3.70217,4,104.0,3,393,3.0,20,337
17.0,61.0,40.41058,-3.70217,4,89.0,3,301,2.31,20,339
17.0,61.0,40.41058,-3.70217,4,101.0,3,355,2.71,20,307
17.0,80.0,40.415794372558594,-3.70602297782898,4,156.0,2,511,3.9,5,85
15.0,66.0,40.43275,-3.70848,4,140.0,30,46,0.37,1,36
16.0,59.0,40.44615,-3.67459,4,57.0,30,34,0.26,6,319
17.0,80.0,40.41719,-3.70148,4,108.0,1,357,2.74,292,309
3.0,12.0,40.39675,-3.7654,3,18.0,30,8,0.06,1,42
17.0,61.0,40.41332,-3.70503,4,143.0,30,111,0.93,7,19
18.0,82.0,40.4211,-3.68414,4,159.0,1,39,0.3,29,14
13.0,60.0,40.40253,-3.69666,4,72.0,3,146,1.12,23,21
16.0,66.0,40.44109,-3.67603,3,42.0,2,100,0.78,1,216
17.0,79.0,40.41102,-3.69438,4,122.0,1,502,3.85,20,325
16.0,51.0,40.40621,-3.6822,3,59.0,2,220,1.72,3,128
17.0,76.0,40.4126,-3.71268,4,76.0,30,1,1.0,2,198
16.0,78.0,40.41574,-3.67072,4,156.0,4,57,0.44,1,268
17.0,80.0,40.4191,-3.7079,4,127.0,1,442,3.43,4,107
14.0,63.0,40.45034,-3.69474,3,76.0,3,64,0.5,2,277
11.0,34.0,40.47327,-3.83206,3,53.0,1,0,0.0,2,108
17.0,61.0,40.40855,-3.70946,4,57.0,10,159,1.23,2,287
13.0,60.0,40.40225,-3.69099,4,111.0,30,263,2.05,1,34
17.0,61.0,40.40937423706055,-3.693152904510498,3,57.0,5,100,0.78,1,328
17.0,80.0,40.4155,-3.70749,3,59.0,2,77,0.64,2,77
2.0,2.0,40.40254,-3.64521,4,152.0,3,240,1.88,5,47
17.0,79.0,40.41602,-3.69945,4,161.0,2,323,2.52,1,49
17.0,61.0,40.41076,-3.70223,4,104.0,3,362,2.85,20,337
17.0,61.0,40.41073,-3.70223,4,104.0,3,304,2.38,20,330
17.0,61.0,40.41058,-3.70217,4,108.0,3,336,2.64,20,315
17.0,61.0,40.41079,-3.70225,4,107.0,3,367,2.88,20,326
17.0,61.0,40.41077,-3.70221,4,111.0,3,313,2.46,20,336
18.0,63.0,40.43721,-3.67314,4,85.0,30,24,0.2,3,253
17.0,77.0,40.42453,-3.70058,4,143.0,10,378,2.96,8,7
17.0,61.0,40.40721,-3.69942,4,108.0,1,148,1.16,10,80
16.0,84.0,40.46611,-3.68246,3,120.0,3,23,0.58,2,343
10.0,35.0,40.44266,-3.65135,3,37.0,10,44,0.37,2,334
17.0,76.0,40.42284,-3.7106,3,125.0,2,107,0.83,7,180
3.0,11.0,40.40262,-3.7399,4,148.0,7,41,0.34,4,315
17.0,66.0,40.43014,-3.71144,4,83.0,1,318,2.52,1,196
17.0,61.0,40.41027,-3.70129,4,117.0,5,125,0.98,1,274
14.0,63.0,40.45281,-3.69337,4,116.0,2,0,0.0,1,9
17.0,61.0,40.40703,-3.6992,4,150.0,1,95,0.78,10,147
17.0,79.0,40.41317,-3.696,4,65.0,4,358,2.8,4,302
16.0,64.0,40.45413,-3.67434,4,120.0,7,27,0.21,1,345
17.0,80.0,40.41906,-3.70455,4,144.0,3,111,0.87,5,226
8.0,48.0,40.3964,-3.66711,4,92.0,5,218,1.75,1,5
13.0,59.0,40.4041,-3.71624,4,121.0,5,180,1.42,1,21
17.0,76.0,40.42284,-3.7106,3,160.0,2,63,0.5,7,365
17.0,80.0,40.41909,-3.70719,4,143.0,1,438,3.45,20,303
17.0,79.0,40.41276,-3.69682,4,90.0,1,230,1.82,15,304
17.0,79.0,40.41459,-3.7026,4,136.0,3,351,2.79,10,181
17.0,79.0,40.41338,-3.69727,4,90.0,1,204,1.61,15,247
17.0,61.0,40.41197,-3.69943,3,96.0,2,120,0.95,2,98
18.0,82.0,40.42319,-3.68463,4,121.0,4,108,0.86,4,329
17.0,80.0,40.41698,-3.7034,4,101.0,3,252,2.0,1,221
17.0,66.0,40.42227,-3.70176,3,74.0,1,208,2.22,4,301
12.0,27.0,40.46211,-3.64967,3,33.0,2,144,1.14,5,14
16.0,73.0,40.41983,-3.68797,4,137.0,2,463,3.67,12,203
18.0,68.0,40.4289,-3.67495,3,56.5,21,16,0.15,1,16
11.0,18.0,40.42252,-3.72086,4,97.0,3,58,0.57,1,198
17.0,66.0,40.422210693359375,-3.707093954086304,3,47.0,1,789,6.31,19,299
17.0,66.0,40.422401428222656,-3.706758975982666,3,36.0,1,841,6.78,19,271
17.0,66.0,40.42226028442383,-3.7065720558166495,3,32.0,1,824,6.54,19,285
17.0,76.0,40.42062,-3.70723,4,110.0,28,208,1.67,1,253
17.0,61.0,40.40872,-3.70008,4,62.0,2,225,1.8,4,38
10.0,47.0,40.433601,-3.653563,4,140.0,1,89,0.71,1,163
17.0,80.0,40.41409,-3.70458,4,99.0,1,377,3.0,6,44
13.0,46.0,40.3959632,-3.6936646,3,43.0,3,48,1.46,1,257
17.0,76.0,40.41306,-3.71003,4,143.0,3,395,3.21,3,17
17.0,77.0,40.42163,-3.69654,3,70.0,2,563,5.07,2,12
10.0,45.0,40.48042,-3.72047,3,20.0,14,43,0.35,1,242
17.0,61.0,40.40961,-3.69711,4,77.0,3,452,3.63,1,129
6.0,39.0,40.39861,-3.71992,3,40.0,2,59,1.65,2,65
17.0,66.0,40.42074,-3.70642,4,103.0,7,94,0.98,1,248
17.0,66.0,40.42497,-3.70862,3,32.0,1,33,0.26,1,340
17.0,61.0,40.40907,-3.70038,4,135.0,2,287,2.31,1,86
3.0,26.0,40.40641,-3.74216,4,120.0,30,40,0.32,1,102
17.0,66.0,40.422245025634766,-3.7067720890045166,3,33.0,1,789,6.3,19,258
17.0,66.0,40.42143,-3.70321,4,99.0,30,363,2.9,1,11
18.0,73.0,40.42477,-3.66933,3,50.0,3,50,0.41,1,315
6.0,39.0,40.39627,-3.71999,3,66.0,2,602,4.86,1,77
15.0,66.0,40.43697,-3.70729,3,56.0,9,41,0.34,1,225
17.0,76.0,40.41805,-3.70876,4,120.0,3,489,3.94,2,300
17.0,61.0,40.4094016904833,-3.694743841631196,4,65.0,7,14,0.54,1,40
18.0,73.0,40.42765,-3.67321,3,40.0,3,232,1.9,3,226
17.0,61.0,40.41091,-3.69887,3,54.0,25,32,0.26,3,112
14.0,65.0,40.45915,-3.69322,4,160.0,4,46,1.19,2,357
17.0,79.0,40.4155,-3.70133,4,127.0,3,295,2.37,6,100
6.0,11.0,40.38422,-3.72129,3,20.0,5,89,0.73,1,22
3.0,26.0,40.40717,-3.74373,3,22.0,1,57,0.47,1,11
16.0,73.0,40.412289303919096,-3.690070435669735,3,146.0,2,35,0.29,3,362
16.0,59.0,40.44091,-3.6816,3,59.0,3,210,1.69,1,288
17.0,61.0,40.41089,-3.69915,4,95.0,3,202,1.65,1,33
17.0,80.0,40.41566,-3.70689,3,38.0,25,16,0.17,5,141
17.0,80.0,40.41537,-3.70331,4,144.0,1,543,4.38,14,119
3.0,29.0,40.41301,-3.72495,4,90.0,3,189,1.55,2,179
14.0,63.0,40.45546,-3.69918,3,78.0,2,103,0.94,1,335
18.0,73.0,40.42553,-3.67824,4,65.0,10,74,0.61,1,27
17.0,77.0,40.42398196261024,-3.6963784676263938,3,58.0,2,67,0.55,1,31
18.0,73.0,40.42791,-3.6771,3,40.0,3,287,2.35,1,13
17.0,76.0,40.41478,-3.7111,4,84.0,30,112,0.91,2,292
13.0,55.0,40.4038,-3.70616,4,121.0,2,416,3.38,1,206
17.0,79.0,40.4133,-3.69678,4,162.0,3,431,3.53,4,45
17.0,66.0,40.42396,-3.70366,3,43.0,6,159,1.31,3,140
3.0,29.0,40.40697,-3.73305,4,100.0,21,92,0.75,1,74
17.0,66.0,40.42233276367188,-3.70681095123291,3,34.0,1,781,6.34,19,270
9.0,24.0,40.43869,-3.624,4,81.0,3,222,1.83,3,237
17.0,61.0,40.41058,-3.70217,4,104.0,3,325,2.66,20,336
17.0,61.0,40.41058,-3.70217,4,88.0,3,430,3.5,20,326
17.0,66.0,40.42233276367188,-3.70681095123291,3,30.0,1,760,6.18,19,268
3.0,29.0,40.40918,-3.73434,3,26.0,2,94,0.93,2,154
17.0,76.0,40.41759,-3.71188,4,143.0,5,38,0.32,4,296
9.0,5.0,40.42381,-3.6179,3,26.0,1,1031,8.41,1,21
17.0,61.0,40.41058,-3.70217,4,117.0,3,257,2.12,20,330
18.0,63.0,40.43765,-3.66051,3,51.0,5,332,2.73,1,217
17.0,80.0,40.41912,-3.70179,4,111.0,2,317,2.6,1,147
17.0,61.0,40.41171,-3.70078,4,143.0,4,210,2.16,1,8
17.0,79.0,40.41276,-3.69495,3,54.0,2,401,3.29,3,28
16.0,64.0,40.4542,-3.67716,3,50.0,4,20,0.22,2,274
17.0,76.0,40.41014,-3.71055,4,128.0,3,30,0.25,1,90
17.0,79.0,40.41097,-3.69479,3,35.0,2,480,3.93,3,27
17.0,61.0,40.4093,-3.69804,4,105.0,14,219,1.8,1,32
10.0,47.0,40.43349186152441,-3.650601202789191,3,35.0,2,605,4.96,2,186
17.0,61.0,40.40826416015625,-3.7030858993530273,4,100.0,2,337,2.76,2,273
10.0,47.0,40.43393196787414,-3.6484552797551735,3,27.0,2,232,1.9,2,237
17.0,61.0,40.41053,-3.70298,3,120.0,1,474,3.89,1,258
16.0,65.0,40.47053,-3.68546,4,91.0,20,219,1.8,4,107
17.0,79.0,40.4121,-3.69577,4,104.0,4,128,1.17,1,23
17.0,76.0,40.42101,-3.71032,4,105.0,1,310,2.55,20,322
